japan_prefecture_code,prefecture_name,target_prediction_date,cumulative_confirmed,cumulative_confirmed_q0025,cumulative_confirmed_q0975,cumulative_deaths,cumulative_deaths_q0025,cumulative_deaths_q0975,hospitalized_patients,hospitalized_patients_q0025,hospitalized_patients_q0975,recovered,recovered_q0025,recovered_q0975,cumulative_confirmed_ground_truth,cumulative_deaths_ground_truth,hospitalized_patients_ground_truth,recovered_ground_truth,forecast_date,new_deaths,new_confirmed,new_deaths_ground_truth,new_confirmed_ground_truth,prefecture_name_kanji
JP-01,HOKKAIDO,2021-01-09,14531.8291015625,14449.41015625,14723.9248046875,499.9956665039,499.1405334473,520.3233032227,1465.6071777344,1441.3123779297,1570.0390625,12536.36328125,12481.619140625,12598.337890625,NA,NA,NA,NA,2021-01-08,3.9956665038999972,217.8291015625,NA,NA,北海道
JP-01,HOKKAIDO,2021-01-10,14684.455078125,14525.0068359375,15058.6904296875,504.4842224121,502.8448486328,543.4631347656,1529.2819824219,1481.0706787109,1736.6127929688,12619.9375,12515.2734375,12737.388671875,NA,NA,NA,NA,2021-01-08,4.488555908199999,152.6259765625,NA,NA,北海道
JP-01,HOKKAIDO,2021-01-11,14851.8994140625,14619.6533203125,15401.080078125,509.2495117188,506.891418457,565.3654785156,1602.6789550781,1530.5662841797,1913.0032958984,12706.9697265625,12556.736328125,12873.697265625,NA,NA,NA,NA,2021-01-08,4.765289306700026,167.4443359375,NA,NA,北海道
JP-01,HOKKAIDO,2021-01-12,15010.0693359375,14710.93359375,15722.755859375,514.3089599609,511.2851867676,586.262512207,1666.4167480469,1571.236328125,2076.4462890625,12798.4677734375,12606.498046875,13010.171875,NA,NA,NA,NA,2021-01-08,5.059448242099961,158.169921875,NA,NA,北海道
JP-01,HOKKAIDO,2021-01-13,15169.8818359375,14807.9892578125,16037.865234375,519.6041870117,515.9643554688,606.2130737305,1726.8843994141,1609.4276123047,2233.521484375,12892.779296875,12662.5751953125,13145.09765625,NA,NA,NA,NA,2021-01-08,5.295227050800008,159.8125,NA,NA,北海道
JP-01,HOKKAIDO,2021-01-14,15319.240234375,14900.3662109375,16327.9326171875,525.1298217773,520.9204101562,625.3111572266,1775.4296875,1637.2504882812,2372.0634765625,12990.4560546875,12725.1630859375,13278.6865234375,NA,NA,NA,NA,2021-01-08,5.525634765599989,149.3583984375,NA,NA,北海道
JP-01,HOKKAIDO,2021-01-15,15476.3154296875,15002.9970703125,16620.501953125,530.8297729492,526.0914306641,643.6135253906,1826.1833496094,1667.9182128906,2510.1103515625,13090.4306640625,12792.880859375,13410.9853515625,NA,NA,NA,NA,2021-01-08,5.699951171900011,157.0751953125,NA,NA,北海道
JP-01,HOKKAIDO,2021-01-16,15641.6123046875,15116.5322265625,16916.99609375,536.749206543,531.5176391602,661.2767944336,1881.9744873047,1703.8885498047,2652.033203125,13192.95703125,12865.6552734375,13543.2939453125,NA,NA,NA,NA,2021-01-08,5.919433593800022,165.296875,NA,NA,北海道
JP-01,HOKKAIDO,2021-01-17,15810.3408203125,15236.7744140625,17211.0078125,542.9151611328,537.220703125,678.4409179688,1938.9798583984,1741.5805664062,2792.9262695312,13298.326171875,12943.5126953125,13676.564453125,NA,NA,NA,NA,2021-01-08,6.165954589799981,168.728515625,NA,NA,北海道
JP-01,HOKKAIDO,2021-01-18,15980.9267578125,15361.9423828125,17500.1015625,549.3330078125,543.2042236328,695.1787719727,1995.099609375,1779.0731201172,2929.8664550781,13406.5595703125,13026.2841796875,13810.306640625,NA,NA,NA,NA,2021-01-08,6.4178466797000056,170.5859375,NA,NA,北海道
