コード,都道府県,pref,八地方区分,広域圏,通俗的区分
01,北海道,hokkaido,北海道地方,,北海道
02,青森県,aomori,東北地方,東北圏,東北
03,岩手県,iwate,東北地方,東北圏,東北
04,宮城県,miyagi,東北地方,東北圏,東北
05,秋田県,akita,東北地方,東北圏,東北
06,山形県,yamagata,東北地方,東北圏,東北
07,福島県,fukushima,東北地方,東北圏,東北
08,茨城県,ibaraki,関東地方,首都圏,関東
09,栃木県,tochigi,関東地方,首都圏,関東
10,群馬県,gunma,関東地方,首都圏,関東
11,埼玉県,saitama,関東地方,首都圏,関東
12,千葉県,chiba,関東地方,首都圏,関東
13,東京都,tokyo,関東地方,首都圏,関東
14,神奈川県,kanagawa,関東地方,首都圏,関東
15,新潟県,niigata,中部地方,東北圏,甲信越
16,富山県,toyama,中部地方,北陸圏,北陸
17,石川県,ishikawa,中部地方,北陸圏,北陸
18,福井県,fukui,中部地方,北陸圏,北陸
19,山梨県,yamanashi,中部地方,首都圏,甲信越
20,長野県,nagano,中部地方,中部圏,甲信越
21,岐阜県,gifu,中部地方,中部圏,東海
22,静岡県,shizuoka,中部地方,中部圏,東海
23,愛知県,aichi,中部地方,中部圏,東海
24,三重県,mie,近畿地方,中部圏,東海
25,滋賀県,shiga,近畿地方,近畿圏,関西
26,京都府,kyoto,近畿地方,近畿圏,関西
27,大阪府,osaka,近畿地方,近畿圏,関西
28,兵庫県,hyogo,近畿地方,近畿圏,関西
29,奈良県,nara,近畿地方,近畿圏,関西
30,和歌山県,wakayama,近畿地方,近畿圏,関西
31,鳥取県,tottori,中国地方,中国圏,中国
32,島根県,shimane,中国地方,中国圏,中国
33,岡山県,okayama,中国地方,中国圏,中国
34,広島県,hiroshima,中国地方,中国圏,中国
35,山口県,yamaguchi,中国地方,中国圏,中国
36,徳島県,tokushima,四国地方,四国圏,四国
37,香川県,kagawa,四国地方,四国圏,四国
38,愛媛県,ehime,四国地方,四国圏,四国
39,高知県,kochi,四国地方,四国圏,四国
40,福岡県,fukuoka,九州地方,九州圏,九州
41,佐賀県,saga,九州地方,九州圏,九州
42,長崎県,nagasaki,九州地方,九州圏,九州
43,熊本県,kumamoto,九州地方,九州圏,九州
44,大分県,oita,九州地方,九州圏,九州
45,宮崎県,miyazaki,九州地方,九州圏,九州
46,鹿児島県,kagoshima,九州地方,九州圏,九州
47,沖縄県,okinawa,九州地方,,沖縄
