japan_prefecture_code,prefecture_name,target_prediction_date,cumulative_confirmed,cumulative_confirmed_q0025,cumulative_confirmed_q0975,cumulative_deaths,cumulative_deaths_q0025,cumulative_deaths_q0975,hospitalized_patients,hospitalized_patients_q0025,hospitalized_patients_q0975,recovered,recovered_q0025,recovered_q0975,cumulative_confirmed_ground_truth,cumulative_deaths_ground_truth,hospitalized_patients_ground_truth,recovered_ground_truth,forecast_date,new_deaths,new_confirmed,new_deaths_ground_truth,new_confirmed_ground_truth,prefecture_name_kanji
JP-01,HOKKAIDO,2021-02-04,17795.1328125,17750.287109375,18104.857421875,614.7106323242,611,648.1576538086,1183.68359375,1175.3327636719,1241.1811523438,15972.177734375,15941.701171875,16186.564453125,,,,,2021-02-03,3.7106323241999917,120.1328125,,,北海道
JP-01,HOKKAIDO,2021-02-05,17892.03515625,17807.123046875,18480.685546875,618.4859008789,611.1548461914,682.4309692383,1170.2186279297,1154.5301513672,1278.2045898438,16082.2001953125,16023.888671875,16491.72265625,,,,,2021-02-03,3.7752685547000056,96.90234375,,,北海道
JP-01,HOKKAIDO,2021-02-06,17992.888671875,17871.271484375,18835.013671875,622.2617797852,611.737121582,714.0361938477,1159.0954589844,1136.9259033203,1311.6459960938,16190.1943359375,16106.4345703125,16777.61328125,,,,,2021-02-03,3.7758789063000222,100.853515625,,,北海道
JP-01,HOKKAIDO,2021-02-07,18072.947265625,17919.720703125,19138.751953125,626.0159912109,612.5738525391,743.1763305664,1132.7322998047,1105.2309570312,1321.8800048828,16297.119140625,16190.095703125,17046.05859375,,,,,2021-02-03,3.7542114256999639,80.05859375,,,北海道
JP-01,HOKKAIDO,2021-02-08,18130.3515625,17950.50390625,19389.173828125,629.6850585938,613.5771484375,769.97265625,1088.1654052734,1056.6950683594,1304.4305419922,16401.669921875,16273.3798828125,17295.953125,,,,,2021-02-03,3.6690673829000389,57.404296875,,,北海道
JP-01,HOKKAIDO,2021-02-09,18212.9140625,18005.421875,19653.505859375,633.3889770508,614.8412475586,794.7958374023,1062.9633789062,1027.7775878906,1304.5512695312,16502.23046875,16354.51171875,17527.720703125,,,,,2021-02-03,3.7039184569999861,82.5625,,,北海道
JP-01,HOKKAIDO,2021-02-10,18282.291015625,18051.232421875,19881.48828125,637.2015991211,616.4165039062,817.9434204102,1029.5001220703,991.5453491211,1289.8869628906,16601.052734375,16435.56640625,17745.427734375,,,,,2021-02-03,3.8126220702999944,69.376953125,,,北海道
JP-01,HOKKAIDO,2021-02-11,18370.91015625,18115.076171875,20123.056640625,640.5010986328,617.6852416992,838.7991333008,1013.0191650391,972.239074707,1292.6318359375,16696.900390625,16515.1796875,17950.060546875,,,,,2021-02-03,3.2994995116999917,88.619140625,,,北海道
JP-01,HOKKAIDO,2021-02-12,18461.8125,18185.841796875,20349.90625,643.8129272461,619.1389770508,858.1745605469,1005.9710083008,962.4064941406,1304.5526123047,16791.828125,16595.251953125,18144.611328125,,,,,2021-02-03,3.3118286133000083,90.90234375,,,北海道
JP-01,HOKKAIDO,2021-02-13,18521.630859375,18232.4296875,20517.81640625,647.1627807617,620.7863769531,876.2383422852,976.0060424805,931.0602416992,1283.9478759766,16885.33984375,16675.17578125,18329.046875,,,,,2021-02-03,3.3498535155999889,59.818359375,,,北海道
JP-01,HOKKAIDO,2021-02-14,18585.802734375,18281.111328125,20686.59765625,650.4235839844,622.4903564453,892.9605712891,947.0142822266,901.0640869141,1261.7614746094,16975.109375,16752.521484375,18502.150390625,,,,,2021-02-03,3.2608032227000194,64.171875,,,北海道
JP-01,HOKKAIDO,2021-02-15,18642.216796875,18324.771484375,20833.97265625,653.5964355469,624.2396850586,908.4531860352,914.4792480469,868.075378418,1232.2888183594,17062.21484375,16828.271484375,18665.796875,,,,,2021-02-03,3.1728515625,56.4140625,,,北海道
JP-01,HOKKAIDO,2021-02-16,18697.310546875,18367.931640625,20972.62890625,656.6597900391,626.0028686523,922.8032226562,882.7054443359,836.1505737305,1201.5601806641,17146.33203125,16902.009765625,18820.951171875,,,,,2021-02-03,3.0633544922000056,55.09375,,,北海道
JP-01,HOKKAIDO,2021-02-17,18771.591796875,18427.8359375,21133.857421875,659.6193237305,627.7733764648,936.0902709961,868.8184204102,821.4344482422,1193.3720703125,17227.828125,16974.0078125,18967.63671875,,,,,2021-02-03,2.9595336913999972,74.28125,,,北海道
JP-01,HOKKAIDO,2021-02-18,18834.29296875,18481.33984375,21265.931640625,662.5440673828,629.6066894531,948.4846801758,849.735168457,802.0169677734,1176.5842285156,17308.458984375,17045.9140625,19107.78125,,,,,2021-02-03,2.9247436522999806,62.701171875,,,北海道
JP-01,HOKKAIDO,2021-02-19,18917.9140625,18551.66796875,21427.26953125,665.4011230469,631.4633178711,960.0331420898,847.82421875,798.9793701172,1182.4129638672,17387.1875,17116.638671875,19241.458984375,,,,,2021-02-03,2.8570556641000167,83.62109375,,,北海道
JP-01,HOKKAIDO,2021-02-20,19010.46875,18631.771484375,21594.41015625,668.2614746094,633.4022827148,970.9012451172,854.9733886719,804.5932617188,1200.0921630859,17466.642578125,17188.70703125,19371.708984375,,,,,2021-02-03,2.8603515625,92.5546875,,,北海道
JP-01,HOKKAIDO,2021-02-21,19078.1640625,18694.982421875,21711.615234375,671.1656494141,635.4538574219,981.2061157227,844.3603515625,793.6099853516,1192.0255126953,17547.11328125,17262.337890625,19498.921875,,,,,2021-02-03,2.9041748047000056,67.6953125,,,北海道
JP-01,HOKKAIDO,2021-02-22,19148.79296875,18759.462890625,21832.30859375,674.032043457,637.5346069336,990.9068603516,834.8623657227,783.7977905273,1184.7087402344,17626.26171875,17335.17578125,19621.65234375,,,,,2021-02-03,2.8663940428999695,70.62890625,,,北海道
JP-01,HOKKAIDO,2021-02-23,19207.697265625,18813.580078125,21931.498046875,677.0092163086,639.7775268555,1000.2567138672,814.0901489258,763.5188598633,1160.5657958984,17704.802734375,17407.87890625,19740.0703125,,,,,2021-02-03,2.9771728516000167,58.904296875,,,北海道
JP-01,HOKKAIDO,2021-02-24,19263.27734375,18863.17578125,22026.400390625,680.0452270508,642.1295166016,1009.2578735352,789.35546875,739.6439819336,1129.9812011719,17781.275390625,17478.978515625,19854.177734375,,,,,2021-02-03,3.0360107422000056,55.580078125,,,北海道
JP-01,HOKKAIDO,2021-02-25,19318.6953125,18913.751953125,22116.70703125,682.6873779297,644.1572875977,1017.2565307617,767.9801635742,719.0222167969,1103.4768066406,17855.560546875,17548.302734375,19963.091796875,,,,,2021-02-03,2.6421508788999972,55.41796875,,,北海道
JP-01,HOKKAIDO,2021-02-26,19376.404296875,18967.32421875,22206.09765625,685.4281616211,646.3208618164,1025.0106201172,751.2297363281,702.817199707,1082.9996337891,17928.013671875,17616.162109375,20066.927734375,,,,,2021-02-03,2.7407836913999972,57.708984375,,,北海道
JP-01,HOKKAIDO,2021-02-27,19432.5703125,19018.595703125,22292.66796875,688.2534179688,648.6029052734,1032.5496826172,733.065612793,685.3643798828,1059.9658203125,17998.662109375,17682.55859375,20166.513671875,,,,,2021-02-03,2.8252563477000194,56.166015625,,,北海道
JP-01,HOKKAIDO,2021-02-28,19496.501953125,19075.4296875,22392.173828125,690.7276611328,650.5902709961,1039.2666015625,722.1286010742,674.7324829102,1046.9631347656,18067.6328125,17747.5859375,20262.919921875,,,,,2021-02-03,2.4742431639999722,63.931640625,,,北海道
JP-01,HOKKAIDO,2021-03-01,19566.126953125,19090.685546875,22534.568359375,693.2164306641,650.8283691406,1046.3779296875,719.8315429688,670.3510131836,1046.9887695312,18135.896484375,17766.900390625,20394.853515625,,,,,2021-02-03,2.4887695313000222,69.625,,,北海道
JP-01,HOKKAIDO,2021-03-02,19613.021484375,19048.951171875,22666.876953125,695.7442016602,649.6121826172,1053.8481445312,702.6143798828,650.646484375,1025.6552734375,18203.328125,17747.04296875,20556.708984375,,,,,2021-02-03,2.5277709961000028,46.89453125,,,北海道
JP-01,HOKKAIDO,2021-03-03,19652.576171875,18963.640625,22818.3046875,698.2198486328,647.0908203125,1061.4698486328,677.8325805664,622.9645385742,993.3800048828,18268.55078125,17692.466796875,20741.841796875,,,,,2021-02-03,2.475646972599975,39.5546875,,,北海道
JP-02,AOMORI,2021-02-04,736.7044677734,734.7328491211,749.7299804688,13.1750926971,13.0930738449,13.8945894241,54.7677230835,54.3731193542,57.4722442627,666.198425293,664.9287719727,675.342956543,,,,,2021-02-03,0.17509269710000019,6.7044677733999833,,,青森県
