japan_prefecture_code,prefecture_name,target_prediction_date,cumulative_confirmed,cumulative_confirmed_q0025,cumulative_confirmed_q0975,cumulative_deaths,cumulative_deaths_q0025,cumulative_deaths_q0975,hospitalized_patients,hospitalized_patients_q0025,hospitalized_patients_q0975,recovered,recovered_q0025,recovered_q0975,cumulative_confirmed_ground_truth,cumulative_deaths_ground_truth,hospitalized_patients_ground_truth,recovered_ground_truth,forecast_date,new_deaths,new_confirmed,new_deaths_ground_truth,new_confirmed_ground_truth,prefecture_name_kanji
JP-01,HOKKAIDO,2021-02-10,18191.083984375,18133.181640625,18387.830078125,629.7724609375,628.1834716797,664.342590332,925.7144775391,916.268371582,940.7862548828,16628.755859375,16582.091796875,16774.8671875,,,,,2021-02-09,2.7724609375,65.083984375,,,北海道
JP-01,HOKKAIDO,2021-02-11,18242.802734375,18132.990234375,18618.107421875,632.3962402344,629.3626098633,698.3994750977,882.6279907227,865.5213012695,909.944152832,16718.017578125,16628.890625,16997.314453125,,,,,2021-02-09,2.6237792969000111,51.71875,,,北海道
JP-01,HOKKAIDO,2021-02-12,18282.2734375,18126.408203125,18817.705078125,634.9170532227,630.5702514648,729.4946899414,835.9786987305,812.8756103516,872.900390625,16803.125,16675.369140625,17203.81640625,,,,,2021-02-09,2.5208129883000083,39.470703125,,,北海道
JP-01,HOKKAIDO,2021-02-13,18325.724609375,18128.5,19006.326171875,637.3056030273,631.7661743164,757.8403320312,795.8930664062,767.9877929688,840.5136108398,16883.72265625,16720.83203125,17394.783203125,,,,,2021-02-09,2.3885498045999611,43.451171875,,,北海道
JP-01,HOKKAIDO,2021-02-14,18369.83203125,18135.533203125,19182.013671875,639.5850830078,632.9623413086,783.7056274414,760.6994018555,728.9483032227,811.5172729492,16960.455078125,16765.623046875,17572.3125,,,,,2021-02-09,2.2794799805000139,44.107421875,,,北海道
JP-01,HOKKAIDO,2021-02-15,18413.048828125,18145.55078125,19343.818359375,641.7634277344,634.1572875977,807.2996826172,728.4008789062,693.6217041016,784.0997924805,17033.806640625,16809.94140625,17737.189453125,,,,,2021-02-09,2.1783447266000167,43.216796875,,,北海道
JP-01,HOKKAIDO,2021-02-16,18454.234375,18157.060546875,19492.4296875,643.8563842773,635.3576049805,828.8482666016,697.5592651367,660.4843139648,756.9946899414,17104.037109375,16853.779296875,17891.1796875,,,,,2021-02-09,2.0929565428999695,41.185546875,,,北海道
JP-01,HOKKAIDO,2021-02-17,18495.212890625,18171.3671875,19630.791015625,645.8656005859,636.5563354492,848.5252685547,669.2860717773,630.4614257812,731.5836181641,17171.296875,16897.048828125,18034.701171875,,,,,2021-02-09,2.0092163086000028,40.978515625,,,北海道
JP-01,HOKKAIDO,2021-02-18,18535.337890625,18187.556640625,19758.580078125,647.7914428711,637.7467651367,866.4850463867,642.9923706055,602.880859375,707.3907470703,17235.857421875,16939.794921875,18168.310546875,,,,,2021-02-09,1.9258422852000194,40.125,,,北海道
JP-01,HOKKAIDO,2021-02-19,18570.96484375,18202.02734375,19872.861328125,649.6558837891,638.943359375,882.9182739258,615.5246582031,574.7058105469,681.1073608398,17297.865234375,16981.97265625,18293.46875,,,,,2021-02-09,1.8644409180000139,35.626953125,,,北海道
JP-01,HOKKAIDO,2021-02-20,18609.423828125,18221.123046875,19983.384765625,651.4576416016,640.1390380859,897.9458007812,592.4173583984,551.0336914062,658.9371337891,17357.19921875,17023.28125,18409.880859375,,,,,2021-02-09,1.8017578125,38.458984375,,,北海道
JP-01,HOKKAIDO,2021-02-21,18644.4140625,18239.009765625,20081.83203125,653.1984863281,641.3298950195,911.6882324219,569.0452270508,527.4802856445,635.8584594727,17414.30078125,17063.986328125,18518.265625,,,,,2021-02-09,1.7408447264999722,34.990234375,,,北海道
JP-01,HOKKAIDO,2021-02-22,18679.396484375,18258.517578125,20174.818359375,654.878112793,642.5100708008,924.2731933594,547.5079956055,505.946105957,614.3258056641,17469.1484375,17103.919921875,18619.896484375,,,,,2021-02-09,1.679626464900025,34.982421875,,,北海道
JP-01,HOKKAIDO,2021-02-23,18714.2890625,18279.44140625,20262.205078125,656.5026855469,643.6804199219,935.8057250977,527.9720458984,486.5304260254,594.6012573242,17521.91015625,17143.11328125,18715.09765625,,,,,2021-02-09,1.6245727538999972,34.892578125,,,北海道
JP-01,HOKKAIDO,2021-02-24,18745.140625,18298.107421875,20339.78125,658.0744628906,644.8392333984,946.3899536133,507.0702209473,466.0924377441,572.9720458984,17572.787109375,17181.64453125,18804.951171875,,,,,2021-02-09,1.5717773436999778,30.8515625,,,北海道
JP-01,HOKKAIDO,2021-02-25,18775.71875,18317.6328125,20412.90234375,659.5862426758,645.9760131836,956.0875244141,487.41015625,447.0028381348,552.4036254883,17621.64453125,17219.265625,18889.013671875,,,,,2021-02-09,1.5117797852000194,30.578125,,,北海道
JP-01,HOKKAIDO,2021-02-26,18806.080078125,18338.0078125,20481.353515625,661.0279541016,647.0772705078,964.9540405273,469.3916625977,429.594543457,533.3950805664,17668.6328125,17256.0234375,18967.53125,,,,,2021-02-09,1.4417114258000083,30.361328125,,,北海道
JP-01,HOKKAIDO,2021-02-27,18833.794921875,18356.970703125,20542.67578125,662.4193725586,648.1594238281,973.0944824219,450.9326171875,411.9364624023,513.6373291016,17713.880859375,17291.94921875,19041.345703125,,,,,2021-02-09,1.3914184569999861,27.71484375,,,北海道
JP-01,HOKKAIDO,2021-02-28,18857.939453125,18373.572265625,20597.09765625,663.7602539062,649.2189331055,980.5848999023,431.0057067871,393.0768127441,492.004119873,17757.341796875,17326.923828125,19111.40625,,,,,2021-02-09,1.340881347599975,24.14453125,,,北海道
JP-01,HOKKAIDO,2021-03-01,18879.982421875,18343.80859375,20686.7265625,665.0573730469,648.6600952148,988.0271606445,410.7325744629,373.0640258789,470.6404724121,17798.865234375,17318.138671875,19215.99609375,,,,,2021-02-09,1.2971191407000333,22.04296875,,,北海道
JP-01,HOKKAIDO,2021-03-02,18901.74609375,18276.150390625,20807.87109375,666.3077392578,646.7191772461,995.3833618164,391.8126220703,353.7102355957,451.2613220215,17838.41796875,17271.900390625,19349.3671875,,,,,2021-02-09,1.2503662108999833,21.763671875,,,北海道
JP-01,HOKKAIDO,2021-03-03,18923.1328125,18176.49609375,20954.7578125,667.5145874023,643.6075439453,1002.6280517578,374.3415222168,335.2984008789,433.8073425293,17876.138671875,17193.86328125,19506.56640625,,,,,2021-02-09,1.2068481444999861,21.38671875,,,北海道
JP-01,HOKKAIDO,2021-03-04,18944.142578125,18126,21123.54296875,668.6803588867,639.514831543,1009.755859375,358.2203369141,317.8893127441,418.0594787598,17912.1640625,17089.12109375,19684.07421875,,,,,2021-02-09,1.1657714844000111,21.009765625,,,北海道
JP-01,HOKKAIDO,2021-03-05,18964.732421875,18126,21310.0859375,669.8076171875,634.6027832031,1016.7494506836,343.2861633301,301.4457397461,403.7339782715,17946.6328125,16962.0390625,19878.083984375,,,,,2021-02-09,1.1272583008000083,20.58984375,,,北海道
JP-01,HOKKAIDO,2021-03-06,18984.9140625,18126,21511.11328125,670.8981323242,629.014465332,1023.5996704102,329.4250793457,285.9478759766,390.6346130371,17979.65625,16816.478515625,20085.513671875,,,,,2021-02-09,1.0905151366999917,20.181640625,,,北海道
JP-01,HOKKAIDO,2021-03-07,19004.59375,18126,21723.115234375,671.9689941406,627,1030.3122558594,316.4643859863,271.3007202148,378.5012817383,18011.32421875,16655.66015625,20303.158203125,,,,,2021-02-09,1.0708618163999972,19.6796875,,,北海道
JP-01,HOKKAIDO,2021-03-08,19023.822265625,18126,21915.9375,673.0084228516,627,1036.4822998047,304.3223876953,257.9512939453,366.7789306641,18041.736328125,16512.0859375,20501.7109375,,,,,2021-02-09,1.0394287110000278,19.228515625,,,北海道
JP-01,HOKKAIDO,2021-03-09,19041.90234375,18126,22090.44921875,674.0260009766,627,1042.1739501953,292.3775939941,245.2842559814,354.804107666,18070.9609375,16384.048828125,20683.001953125,,,,,2021-02-09,1.017578125,18.080078125,,,北海道
JP-02,AOMORI,2021-02-10,753.4232177734,750.9319458008,761.2590332031,13.1323280334,13.0993156433,13.8523445129,46.0150718689,45.5457344055,46.7695541382,692.7095336914,690.7662353516,698.8440551758,,,,,2021-02-09,0.13232803340000032,3.4232177733999833,,,青森県
JP-02,AOMORI,2021-02-11,756.6100463867,751.8849487305,771.4637451172,13.2652454376,13.2017631531,14.6487560272,45.5277481079,44.6456985474,46.9451255798,696.6199951172,692.9067382812,708.3436889648,,,,,2021-02-09,0.13291740420000053,3.1868286133000083,,,青森県
JP-02,AOMORI,2021-02-12,759.899597168,753.1536254883,781.2612915039,13.3965034485,13.3048610687,15.392537117,44.8857383728,43.6461639404,46.8851661682,700.4777832031,695.1529541016,717.3973388672,,,,,2021-02-09,0.13125801089999989,3.2895507813000222,,,青森県
JP-02,AOMORI,2021-02-13,762.9790649414,754.4166259766,790.3010864258,13.5263652802,13.4087352753,16.0877552032,44.101108551,42.5565567017,46.602935791,704.2770385742,697.4843139648,726.0017700195,,,,,2021-02-09,0.12986183169999954,3.0794677733999833,,,青森県
JP-02,AOMORI,2021-02-14,766.5653686523,756.3303833008,799.4730224609,13.6543388367,13.5127458572,16.7374229431,43.707660675,41.8859519958,46.6702041626,708.0109863281,699.8813476562,734.1678466797,,,,,2021-02-09,0.12797355649999886,3.5863037108999833,,,青森県
JP-02,AOMORI,2021-02-15,770.2008056641,758.4483642578,808.194519043,13.7817153931,13.6180267334,17.346288681,43.4658699036,41.3940429688,46.8455657959,711.7197875977,702.3708496094,741.9351196289,,,,,2021-02-09,0.12737655640000156,3.6354370118000361,,,青森県
JP-02,AOMORI,2021-02-16,773.5571899414,760.4494628906,816.0901489258,13.9094171524,13.7253408432,17.9186782837,43.0752944946,40.7900810242,46.8109092712,715.4099731445,704.9478759766,749.3231201172,,,,,2021-02-09,0.12770175929999894,3.3563842772999806,,,青森県
JP-02,AOMORI,2021-02-17,776.8719482422,762.5346679688,823.5452880859,14.0366830826,13.8337907791,18.456785202,42.6351356506,40.1666488647,46.6764297485,719.0728149414,707.59375,756.3586425781,,,,,2021-02-09,0.1272659302000001,3.3147583008000083,,,青森県
JP-02,AOMORI,2021-02-18,780.8826293945,765.3609008789,831.5860595703,14.1628217697,13.9425010681,18.9629192352,42.7089576721,40.0500450134,47.0685882568,722.7064819336,710.2963867188,763.0982055664,,,,,2021-02-09,0.12613868710000098,4.0106811522999806,,,青森県
JP-02,AOMORI,2021-02-19,783.9478149414,767.4479980469,837.8034057617,14.2898283005,14.0533647537,19.4408035278,42.2184944153,39.4239959717,46.7964439392,726.3519897461,713.0893554688,769.4575805664,,,,,2021-02-09,0.12700653079999924,3.0651855469000111,,,青森県
JP-02,AOMORI,2021-02-20,787.3798217773,769.9371948242,844.2691650391,14.4168176651,14.1653900146,19.8924350739,41.8891296387,38.9678001404,46.6661453247,729.9365844727,715.8941040039,775.4483642578,,,,,2021-02-09,0.1269893646,3.4320068358999833,,,青森県
JP-02,AOMORI,2021-02-21,790.1101074219,771.887512207,849.4382324219,14.5432929993,14.2779712677,20.3196620941,41.1088523865,38.1104354858,46.0008010864,733.494140625,718.7369384766,781.1569824219,,,,,2021-02-09,0.12647533420000023,2.7302856446000305,,,青森県
JP-02,AOMORI,2021-02-22,792.2667236328,773.3869018555,853.6832275391,14.6678285599,14.3896198273,20.7228546143,39.8493843079,36.8280181885,44.7679481506,736.9741821289,721.5626220703,786.5835571289,,,,,2021-02-09,0.12453556060000004,2.1566162108999833,,,青森県
JP-02,AOMORI,2021-02-23,794.0699462891,774.6198120117,857.5673828125,14.78840065,14.498131752,21.1032676697,38.3023757935,35.2996330261,43.1926307678,740.3362426758,724.3237915039,791.9139404297,,,,,2021-02-09,0.12057209009999958,1.8032226563000222,,,青森県
JP-02,AOMORI,2021-02-24,796.4738769531,776.424987793,862.1968383789,14.9041566849,14.6027479172,21.4590034485,37.2304725647,34.2254676819,42.1263847351,743.559753418,726.9979248047,796.9401855469,,,,,2021-02-09,0.11575603490000042,2.4039306639999722,,,青森県
JP-02,AOMORI,2021-02-25,797.9903564453,777.5216064453,865.1907958984,15.0171318054,14.7054815292,21.7933883667,35.7047309875,32.7481460571,40.518409729,746.6927490234,729.6290893555,801.6274414062,,,,,2021-02-09,0.1129751204999998,1.5164794922000056,,,青森県
JP-02,AOMORI,2021-02-26,799.4241943359,778.5669555664,868.2340698242,15.1250591278,14.8038434982,22.1073074341,34.1016807556,31.2140827179,38.8081092834,749.6845703125,732.1608276367,806.1901855469,,,,,2021-02-09,0.10792732240000014,1.4338378905999889,,,青森県
JP-02,AOMORI,2021-02-27,800.905090332,779.6873779297,871.2396850586,15.2267150879,14.8967103958,22.3982715607,32.617515564,29.8007335663,37.2129669189,752.5488891602,734.6049194336,810.4898681641,,,,,2021-02-09,0.10165596010000044,1.4808959961000028,,,青森県
JP-02,AOMORI,2021-02-28,802.2069702148,780.6904907227,874.0261230469,15.3238763809,14.9857339859,22.6716899872,31.1293029785,28.3944702148,35.603302002,755.287109375,736.9613647461,814.7033081055,,,,,2021-02-09,0.0971612929999992,1.3018798827999944,,,青森県
JP-02,AOMORI,2021-03-01,803.3662719727,779.6907958984,878.2217407227,15.4164609909,15.0340719223,22.9393157959,29.6299495697,26.918138504,34.0264015198,757.9008789062,737.427734375,820.3081665039,,,,,2021-02-09,0.0925846099999994,1.1593017579000389,,,青森県
JP-02,AOMORI,2021-03-02,804.5256958008,777.0872192383,883.612487793,15.5048513412,15.0471496582,23.1990451813,28.2257728577,25.4869270325,32.5814208984,760.3865966797,736.2529296875,826.9024047852,,,,,2021-02-09,0.088390350300000975,1.1594238280999889,,,青森県
JP-02,AOMORI,2021-03-03,805.6834106445,773.1405029297,890.1440429688,15.5893583298,15.029797554,23.4527416229,26.9340209961,24.1315746307,31.2843074799,762.7541503906,733.6842041016,834.4792480469,,,,,2021-02-09,0.084506988599999389,1.1577148436999778,,,青森県
JP-02,AOMORI,2021-03-04,806.8399658203,768.0714111328,897.6307373047,15.6702775955,14.9863424301,23.7004356384,25.7513141632,22.8594970703,30.1228942871,765.0131225586,729.934753418,842.8782348633,,,,,2021-02-09,0.080919265700000409,1.1565551758000083,,,青森県
JP-02,AOMORI,2021-03-05,807.9891357422,762.0456542969,905.7633056641,15.7478933334,14.9203910828,23.9405937195,24.6650238037,21.666103363,29.0720653534,767.1729736328,725.1735839844,851.8237915039,,,,,2021-02-09,0.077615737900000425,1.1491699219000111,,,青森県
JP-02,AOMORI,2021-03-06,809.130065918,755.2478637695,914.5383911133,15.8224582672,14.8355693817,24.1748142242,23.6649570465,20.5488910675,28.1204299927,769.2420654297,719.5836791992,861.3212280273,,,,,2021-02-09,0.074564933799999622,1.1409301758000083,,,青森県
JP-02,AOMORI,2021-03-07,810.3391113281,750,923.8448486328,15.8942899704,14.7342834473,24.4021549225,22.7994594574,19.5519065857,27.3194313049,771.2265014648,713.2785644531,871.1586303711,,,,,2021-02-09,0.0718317031999991,1.209045410099975,,,青森県
JP-02,AOMORI,2021-03-08,811.5667724609,750,932.3918457031,15.9640550613,14.6465120316,24.615486145,22.0373878479,18.6848564148,26.604133606,773.1371459961,707.6814575195,880.1856689453,,,,,2021-02-09,0.069765090900000715,1.2276611327999944,,,青森県
JP-02,AOMORI,2021-03-09,812.876953125,750,940.3598022461,16.0319824219,14.5710430145,24.8161754608,21.4095039368,17.9657840729,26.0191326141,774.9838256836,702.7275390625,888.4833984375,,,,,2021-02-09,0.0679273606000006,1.3101806641000167,,,青森県
JP-03,IWATE,2021-02-10,517.3880615234,516,523.8256225586,29.1078224182,29.0342655182,30.7140331268,21.6952915192,21.4745559692,22.0681095123,465.7534484863,464.4499511719,470.0916748047,,,,,2021-02-09,0.10782241820000138,1.3880615233999833,,,岩手県
